N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
1,삼성전자,"68,100",600,+0.89%,100,"4,065,422","5,969,783",56.60,"27,573,692",18.60,8.69,
2,SK하이닉스,"98,700","1,300",-1.30%,"5,000","718,538","728,002",50.19,"3,084,032",25.04,4.25,
3,LG화학,"789,000","41,000",+5.48%,"5,000","556,974","70,592",41.66,"667,555",73.72,1.84,
4,삼성바이오로직스,"798,000","6,000",-0.75%,"2,500","527,997","66,165",10.07,"108,840",148.58,4.77,
5,삼성전자우,"61,800",800,+1.31%,100,"508,544","822,887",85.97,"4,119,685",16.88,N/A,
6,NAVER,"282,500","1,000",+0.36%,100,"464,044","164,263",55.80,"692,285",56.24,10.56,
7,셀트리온,"302,000","1,000",+0.33%,"1,000","407,693","134,998",20.45,"730,186",80.04,11.19,
8,현대차,"180,500","1,500",+0.84%,"5,000","385,671","213,668",31.02,"1,261,181",43.13,4.32,
9,삼성SDI,"544,000","18,000",+3.42%,"5,000","374,079","68,765",43.68,"441,340",185.60,2.94,
10,카카오,"371,500","4,500",+1.23%,500,"327,959","88,280",32.19,"566,787",-412.32,-5.81,
11,LG생활건강,"1,545,000","20,000",-1.28%,"5,000","241,301","15,618",45.73,"19,955",34.62,20.32,
12,기아차,"59,100",200,-0.34%,"5,000","239,570","405,363",38.01,"1,620,452",27.46,6.50,
13,현대모비스,"246,500","1,000",-0.40%,"5,000","234,310","95,055",43.31,"264,018",13.43,7.28,
14,삼성물산,"124,500","2,000",+1.63%,100,"232,674","186,887",14.29,"703,997",21.75,4.77,
15,POSCO,"243,000",500,-0.21%,"5,000","211,864","87,187",51.13,"322,846",23.10,4.18,
16,KB금융,"46,000",450,-0.97%,"5,000","191,272","415,808",66.01,"1,037,044",6.02,8.92,
17,SK텔레콤,"232,000","1,000",+0.43%,500,"187,330","80,746",34.08,"233,550",17.08,3.92,
18,엔씨소프트,"814,000","8,000",-0.97%,500,"178,706","21,954",48.15,"63,962",34.28,14.72,
19,신한지주,"33,850",100,-0.29%,"5,000","174,844","516,527",57.95,"1,948,659",5.08,9.09,
20,SK,"215,500","1,000",+0.47%,200,"151,626","70,360",21.81,"150,541",-415.22,4.31,
21,삼성생명,"75,700",700,+0.93%,500,"151,400","200,000",12.26,"603,849",16.83,3.26,
22,SK이노베이션,"158,500","4,500",+2.92%,"5,000","146,558","92,466",24.04,"933,125",-6.03,-0.20,
23,LG전자,"88,200","1,000",-1.12%,"5,000","144,337","163,648",35.89,"660,143",19.16,0.22,
